PartNumber,Description,Sellable,Length,Weight,Width,Height,productPageUrl,image1_url,image1_name,image2_url,image2_name,image3_url,image3_name,image4_url,image4_name,image5_url,image5_name,image6_url,image6_name,image7_url,image7_name,image8_url,image8_name,image9_url,image9_name
3607879,Fuel Flow Valve,Y,15 In,7.691 Lbs,14.5 In,29.5 In,https://parts.cummins.com/esn-entry/main/part-details/3607879/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607879/3607879_iso2.png?x-image-size=medium,3607879_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607879/3607879_iso.png?x-image-size=medium,3607879_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607879/3607879_left.png?x-image-size=medium,3607879_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/360/3607879/3607879_top.png?x-image-size=medium,3607879_image4.jpg,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3607879/part,no image available,no image available,,,,,,,,,,,,,,,,
3972351,Fuel Injection Pump,China Part.,N,0 In,.1 Lbs,0 In,https://parts.cummins.com/esn-entry/main/part-details/3972351/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3972351/part,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3966339/part,no image available,no image available,,,,,,,,,,,,,,,,
5317838,Fuel Pump,Y,52.2 In,19.2 Lbs,33 In,26.4 In,https://parts.cummins.com/esn-entry/main/part-details/5317838/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_iso.png?x-image-size=medium,5317838_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_iso2.png?x-image-size=medium,5317838_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_iso_mkt.png?x-image-size=medium,5317838_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_back.png?x-image-size=medium,5317838_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_bottom.png?x-image-size=medium,5317838_image5.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_front.png?x-image-size=medium,5317838_image6.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_left.png?x-image-size=medium,5317838_image7.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_right.png?x-image-size=medium,5317838_image8.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_top.png?x-image-size=medium,5317838_image9.jpg
5317838,Fuel Pump,Y,52.2 In,19.2 Lbs,33 In,26.4 In,https://parts.cummins.com/esn-entry/main/part-details/5317838/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_iso.png?x-image-size=medium,5317838_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_iso2.png?x-image-size=medium,5317838_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_iso_mkt.png?x-image-size=medium,5317838_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_back.png?x-image-size=medium,5317838_image4.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_bottom.png?x-image-size=medium,5317838_image5.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_front.png?x-image-size=medium,5317838_image6.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_left.png?x-image-size=medium,5317838_image7.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_right.png?x-image-size=medium,5317838_image8.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/531/5317838/5317838_top.png?x-image-size=medium,5317838_image9.jpg
3170220,Fuel Cooler,Y,39.5 In,44.5 Lbs,"Non-Hazardous (NOI, ICE/Auto)",27.5 In,https://parts.cummins.com/esn-entry/main/part-details/3170220/parts-search,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/317/3170220/3170220_iso2.png?x-image-size=medium,3170220_image1.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/317/3170220/3170220_iso.png?x-image-size=medium,3170220_image2.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/317/3170220/3170220_right.png?x-image-size=medium,3170220_image3.jpg,https://parts.cummins.com/gateway/api/IACDataServices/graphics/parts/317/3170220/3170220_front.png?x-image-size=medium,3170220_image4.jpg,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3170220/part,no image available,no image available,,,,,,,,,,,,,,,,
,,N,null,null,null,null,https://parts.cummins.com/gsn-entry/main/part-details/3966173/part,no image available,no image available,,,,,,,,,,,,,,,,
3075666,Fuel Pump,PART OBSOLETED WITH NO REPLACEMENT.,N,1 In,1 Lbs,"Non-Hazardous (NOI, ICE/Auto)",https://parts.cummins.com/esn-entry/main/part-details/3075666/parts-search,no image available,no image available,,,,,,,,,,,,,,,,
